file,org,doc_type,effective_date,applies_to,banned_uses,permitted_uses,phi_rule,disclosure_rule,assessment_rule,secure_tools_named,enforcement,aamc_alignment
raw/us-med-schools/ucsf-som--pharmd-ai-assessments-policy.md,UCSF School of Pharmacy,formal policy,approved 2023-10-18 (CEPC),students (PharmD),AI to generate any materials or content for AI-1 Disallowed assessments/deliverables; unclassified defaults to AI-1; patient-care/research AI without preceptor/research-director confirmation,AI-1 to AI-4 classification (Disallowed/Restricted/Documented/Unregulated),entry of patient or student information (identified or de-identified) into such systems is a violation of UCSF policies and potentially a crime.,all use of AI must be appropriately acknowledged; example acknowledgment provided,instructors/preceptors classify assessments/deliverables; unclassified = AI-1,ChatGPT;Bard;Bing (named as gAI),AI violations trigger Policy on Student Misconduct in Academic Studies,no
raw/us-med-schools/uflorida--responsible-use-of-ai-regulation.md,University of Florida,formal policy,,students;employees,sensitive or restricted data must not be input into any unapproved AI System;conduct prohibited for individuals equally prohibited via AI Systems,"AI Systems approved through UF Integrated Risk Management (IRM) process, per data classification",,"AI-generated fabrication, falsification or plagiarism attributed to the user",students must strictly comply with instructor/advisor instructions on AI use (Regulation 4.040 Student Honor Code),IRM-approved AI systems; UF Policy 12-011 data classification,Student Honor Code and Student Conduct Code (Reg 4.040); Acceptable Use Policy 12-002,no
raw/us-med-schools/uflorida-com--college-of-medicine-ai.md,University of Florida College of Medicine,curricular,,students;clinicians,,AI in medicine course series for medical students and clinicians; AI curriculum across disciplines,,,,,,no
raw/us-med-schools/uflorida-com--osa-artificial-intelligence-policy.md,University of Florida College of Medicine (Office of Student Affairs),formal policy,,students,improper use or acknowledgement of AI for course assignments construed as unauthorized assistance under UF Honor Code,refer to course syllabi or course director prior to usage,,,,,,no
raw/us-med-schools/uiowa--ai-guidance-for-students.md,The University of Iowa,guidance,,students,unauthorized use of AI tools during academic exercises prohibited by Academic Misconduct Policy,,,citing or acknowledging AI use when required,,,,no
raw/us-med-schools/uiowa-its--ai-guidelines-and-use-cases.md,University of Iowa Information Technology Services,guidance,,students;faculty;staff,sharing student PII/degree-audit data with AI platforms;NIH peer-review AI forbidden;confidential/organizational/PII input into other tools,Copilot and ChatGPT with university accounts preferred; risk-rated use cases,,acknowledge AI-generated content or analysis,AI-generated practice quizzes possible but each question needs accuracy check,Microsoft Copilot;ChatGPT (university account),,no
raw/us-med-schools/umich-medical-school--acceptable-ai-use-guideline.md,University of Michigan Medical School / Michigan Medicine,guidance,,faculty;staff;students,must not enter institutional data into public AI services;use of AI tools prohibited for grant reviews and manuscript reviews,U-M Gen AI Services and M365 Copilot approved for data classified high (incl. PHI),"U-M GPT, U-M Maizey, and U-M GPT Toolkit Services and M365 Copilot are approved for use with data classified as high (e.g., PHI).","may need to disclose when AI supports coursework, educational materials, research; do not present AI work as solely human-created when distinction matters","students follow course, program, and instructor expectations for AI in assignments, assessments, scholarly work",U-M GPT;U-M Maizey;U-M GPT Toolkit;M365 Copilot; Sensitive Data Guide to IT Services,,no
raw/us-med-schools/umn-medical-school--intellectual-responsibility-ai-addendum.md,University of Minnesota Medical School,formal policy,SIR revised 2015-04; AI addendum undated,students,submitting work that is not the student's own original efforts;examination work must be individual and original except as specified,,none,,,,peer Review Committee hears allegations; Committee on Student Scholastic Standing (COSSS) for disciplinary action,no
raw/us-med-schools/umn-medical-school--it-appropriate-use-genai-tools.md,University of Minnesota IT,guidance,,students;faculty;researchers,upload of license-restricted research/course articles to AI tools (library licensing),UMN-licensed AI tools encouraged; only allowed University data into appropriately licensed tools,,,,,,no
raw/us-med-schools/unc--research-genai-usage-guidance.md,University of North Carolina at Chapel Hill,guidance,,"researchers incl. students,faculty,staff,postdocs","ChatGPT listed as author prohibited (COPE, WAME, JAMA, Science)",,"It cannot be assumed that generative AI tools are compliant with rules and laws designed to ensure the confidentiality of private information, such as HIPAA ... and FERPA",citation of AI output and disclosure norms evolving; follow journal requirements,,,,no
raw/us-med-schools/unc-som--gmb-student-genai-usage-guidance.md,UNC School of Medicine (Genetics & Molecular Biology),guidance,2023-07,students (GMB),entering an assignment question into ChatGPT and pasting the response as the answer;AI-generated images resembling scientific data,brainstorming/simulations with documentation; AI to support research if accounted for and documented,,the use of any AI in the creation of your work must be declared in your submission and explained,,ChatGPT,not following guidelines may be a reportable violation to the UNC Honor Court; guidelines themselves developed with ChatGPT (disclosed),no
raw/us-med-schools/unc-som--omse-artificial-intelligence-policy.md,UNC School of Medicine (Offices of Medical Student Education),formal policy,2026-07,students (MD),"AI to complete assessments, assignments, reflections evaluating individual knowledge/judgment/clinical reasoning unless explicitly authorized;generating/substantially modifying/fabricating H&Ps, patient notes, A&Ps, case presentations without approved systems or permission;entering PHI into any AI system unless HIPAA-compliant and approved;uploading proprietary faculty teaching materials;AI meeting summaries without all participants' knowledge and consent;relying on AI output as substitute for clinical judgment","routine spelling, grammar, punctuation, formatting (no disclosure needed unless specified); Microsoft CoPilot and LLMs via UNC PromptLab permitted for academic purposes",Students may not enter protected health information (PHI) into any AI system unless they have been explicitly informed by the institution that the system is HIPAA-compliant and approved for the use of PHI.,AI should not be used in any assignment unless explicitly permitted; disclosure of substantive AI use required; citation-management assistance disclosed; err toward disclosure,"applies to coursework, independent study, formative learning activities, and assessments unless course/clerkship states otherwise",Microsoft CoPilot;UNC PromptLab; UNC-approved AI tools only,"consistent with UNC guidance and institutional expectations; students responsible for accuracy, originality, integrity of all submitted work",no
raw/us-med-schools/usc-keck--medical-student-genai-tools-policy.md,Keck School of Medicine of USC,formal policy,2025-12-17 (MECC approval),students (medical),"generative AI for assignments/activities/coursework evaluating own knowledge, reasoning, skills or reflections unless explicitly permitted;generative AI for documentation of patient care;upload of curricular materials unless explicitly approved","when permitted, as a tool not a replacement for student reasoning/reflection; student responsible for copyright/IP compliance",it is never permissible to enter patient protected health information into a generative AI tool unless explicitly approved and sanctioned by the applicable health system and clinical setting.,comply with journal/organization GenAI policies; disclose how generative AI was used in scholarship; cite AI in student work,,(none named beyond health-system-sanctioned tools),inappropriate or unauthorized use violates the Keck School Code of Professional Behavior,no
raw/us-med-schools/ut-austin--acceptable-use-of-generative-ai-tools.md,University of Texas at Austin Information Security Office,formal policy,,students;faculty;staff,unauthorized AI tools (no university contract/data-sharing controls) with Controlled or Confidential data;fraudulent or illegal activities;Texas state law: no autonomous consequential decisions without meaningful human review,public/published data freely usable; authorized tools per Local and Cloud Services Decision Matrix; consistent with Acceptable Use Policy,"student records subject to FERPA, health information, proprietary information, and any other data classified as Confidential or Controlled must not be used with unauthorized AI tools.",,,ChatGPT;Copilot;Bard/Gemini;Claude (and university-contracted versions); AI detection software noted,,no
raw/us-med-schools/uth-mcgovern--msit-generative-ai-offerings.md,McGovern Medical School IT at UTHealth Houston,guidance,,clinicians;staff,,EPIC Ambient Conversation Capture auto-generated notes; enterprise GenAI offerings,,,,EPIC Ambient Conversation Capture,,no
raw/us-med-schools/uth-mcgovern--policy-on-ai-generative-tools.md,McGovern Medical School at UTHealth Houston (McGovern Center for Humanities and Ethics),formal policy,last updated 2025-10-21,students;faculty,"AI tools for reflective writing assignments (journals, reflective essays)",UTHealth/McGovern do not expressly prohibit AI tools like ChatGPT; faculty/departments determine use; students advised to get advance permission for artwork/writing assignments,,AI use without proper citation subject to code of conduct,deviations explicitly outlined in program requirements and course syllabi,ChatGPT;Bing Chat;Copilot;ChatSonic;Claude;Dall-E 2;Firefly;Gemini;Jasper.ai (named as examples),uncited AI use subject to McGovern Medical School code of conduct and UTHealth academic dishonesty policies,no
raw/us-med-schools/utsouthwestern--ai-with-meaning.md,UT Southwestern Medical Center,guidance,,students;clinicians,,AI personalizes learning and simulation-based training; responsible-use guidelines (VPN) from Information Resources,"UT Southwestern is fully committed to protecting patient, student, employee, and other personal data in compliance with HIPAA, FERPA, and other applicable laws",,,,,no
raw/us-med-schools/utsouthwestern-libguides--ai-medical-healthcare-education.md,UT Southwestern Health Sciences Digital Library,guidance,2026-09-04,students;faculty,,,,,,,,yes (links AAMC Principles for the Responsible Use of AI in and for Medical Education and AAMC Principles for Responsible AI in Medical School and Residency Selection)
raw/us-med-schools/uutah--ai-guidelines-and-policies.md,University of Utah,guidance,,,AI tools must not generate or replace the substantive intellectual content of grant proposals,,,,,,,no
raw/us-med-schools/uutah--ai-use-guidelines-2026.md,University of Utah (Office of Artificial Intelligence),formal policy,2026-09 (v1.0),faculty;students;staff,"Institutional Data may not be used for AI training without explicit authorization;AI replacing substantive intellectual contributions to grants/scholarly work;high-risk uses requiring review: AI-assisted grading/academic evaluation, academic-integrity determinations, admissions/financial-aid decisions, student progression/standing/dismissal, employment decisions, placements",University-approved enterprise AI tools with public data; sensitive/restricted data only in tools approved for that classification under approved contractual safeguards,Sensitive or Restricted data (Rule R4-004C) may only be used with AI tools explicitly approved for that classification; PHI requires BAA-covered vendors,failure to comply with disclosure requirements may constitute research misconduct,AI-assisted grading and academic evaluation listed as high-risk uses; AI Impact Assessment may be required,University-approved enterprise AI tools inventory; Office of AI tool reviews,,no
raw/us-med-schools/uutah--ai-use-guidelines-it-perspective.md,University of Utah (IT leadership),guidance,,faculty;students;staff,"never enter or upload sensitive or restricted data per Rule 4-004C into public AI tools, including PHI, FERPA data, PII, donor, IP, payment data",,A Business Associate Agreement (BAA) must be on file with the University of Utah Health Privacy Office for AI-related and other IT products/vendors that store or process PHI.,AI output must be reviewed for copyrighted material to avoid plagiarism/misattribution,,public ChatGPT flagged as lacking compliance; Fall 2023 instructional guidelines referenced,,no
raw/us-med-schools/uutah-som--student-handbook.md,University of Utah Spencer Fox Eccles School of Medicine,handbook section,updated 2025-08-27,students,"(AI tools clause per collector; captured text covers Epic documentation standards and conduct, not AI specifics)",,Be cognizant of patient privacy and confidentiality standards; do not post identifiable patient information online,,,Epic (student documentation training and templates),,"no (cites AAMC EPAs, MSOP, VSLO — not the AI principles)"
raw/us-med-schools/uva-som--md-program-genai-policy.md,University of Virginia School of Medicine,formal policy,,students (MD),"entering patient PHI into any Content-Restricted External Tool for any purpose;creating clinical documentation (H&Ps, progress notes, discharge summaries) with AI outside EHR-supported tools (e.g., Dax, Abridge);entering licensed third-party content (UWorld questions, copyrighted Anki decks) into generative AI","Copilot to summarize recorded course content; Gemini Notebook study aids from UVA-owned content; ChatGPT for simulated cases with no real patient data; approved tools as of July 2026: CoPilot, Google AI incl. Gemini Notebook, Dax CoPilot, small-scale Claude pilot","Students may not enter patient protected health information into any Content-Restricted External Tool, for any purpose.","faculty set disclosure expectations per assignment; AI-assisted work carries lower disclosure threshold than AI-generated work; where unspecified, err toward disclosure; journal policies for scholarly work",,Microsoft Copilot;ChatGPT;Gemini;Claude;DeepSeek;Perplexity;Elicit AI;Dall-E;OpenEvidence;UpToDate Expert AI;Consensus;Dax;Abridge,inappropriate use subject to UVA SOM Code of Conduct and University Honor Code,no
raw/us-med-schools/uw--it-genai-general-use-guidelines.md,University of Washington IT,guidance,2026-09-08,students;faculty;staff,only UW-approved services/applications with University data;course instructors may prohibit or parameter GenAI use,UW-approved GenAI tools per UWare Software Catalog,,disclosing GenAI use is often advisable and may be mandatory; failure may have serious consequences in research or coursework,"privacy impact assessment required for high-risk uses (hiring, admissions, performance evaluations)",,,no
raw/us-med-schools/uw-gme--uw-medicine-ai-policy-announcement.md,UW Medicine Graduate Medical Education,guidance,2026-09-11,residents;fellows;program directors;faculty,,,"Significant risks remain though, including patient harm due to inaccurate AI-generated information, HIPAA and data privacy violations",,"faculty must continue supervising clinical care, assessing medical knowledge/skills/reasoning, reviewing documentation",,,no
raw/us-med-schools/uw-smph--uw-madison-genai-use-policies.md,UW-Madison Information Technology,guidance,2024-08-23 (version 3),faculty;staff;students;affiliates,uploading information from unauthorized electronic files;uploading data usable for malware/phishing;copyright violations via GenAI input;premature disclosure of research results,,UW-124 HIPAA Security Risk Management among applicable policies,,,,,no
raw/us-med-schools/vanderbilt-som--academic-affairs-ai-guidance.pdf.md,Vanderbilt University Academic Affairs,guidance,updated 2023-11-29; effective January 2024,faculty;students;staff,follow guidelines (including prohibitions) from dean/instructor/supervisor,"AI described as valuable, dynamic, vital tool; faculty decide whether/how GenAI used in courses",,you should disclose the use of AI in an appropriate way,,,,no
raw/us-med-schools/vanderbilt-som--genai-students-guidance.md,Vanderbilt University,guidance,,students (incl. medical),,"absent instructor guidance, students are permitted to use generative AI tools but must clearly disclose use; ChatGPT EDU access",,must clearly disclose use of these tools; review assignment prompts for disclosure/citation instructions; citation and disclosure practices,,ChatGPT EDU,,no
raw/us-med-schools/vcu--library-guide-generative-ai-policies.md,VCU Libraries,guidance,,students;faculty;employees,,GenAI Guidelines for Students; VCU Policy on Acceptable Use of Generative AI Technology (employees); faculty teaching guidelines; library-licensed AI tools,,,,,,no
raw/us-med-schools/vcu-som--acceptable-use-generative-ai-applications-policy.md,VCU School of Medicine,formal policy,2026-06-13 (current approved version),students;faculty;staff (SOM),taking credit for AI-assisted work without appropriate acknowledgement (plagiarism),course/clerkship directors articulate when AI Tool use is acceptable for assignments,none,appropriate acknowledgement of the creator required for AI-assisted work,,ChatGPT;Bard;Bing Chat;ChatSonic;Claude;Dall-E 2;Firefly;Jasper.ai;Alphacode;Copilot;Cohere Generate (defined scope),Valued Interactions and Professionalism (VIP) process reviews noncompliance and routes per Professionalism Policy; LCME Standard 3.5 cited,no
raw/us-med-schools/washu--office-of-education-ai-guidance.md,Washington University School of Medicine (Office of Education),guidance,,students;faculty,,university supports and encourages responsible and secure exploration of AI tools; exploring privacy-compliant LLM solutions,,,,ChatGPT;Google Bard (examples),vendor generative AI tools must be assessed for risk by WashU Office of Information Security prior to use,no
raw/us-med-schools/wayne-state--guidelines-for-using-generative-ai.md,Wayne State University Computing & Information Technology,guidance,,students;faculty;staff,"uploading research documentation to unapproved AI technology;third-party AI bots not approved;entering PII, PHI, financial, HR, or small-cell research data",C&IT-approved generative AI tools; Zoom/Teams AI companions with organizer review before publishing summaries,"Any information containing PII, PHI, financial data, HR data, or research data that has not been fully sanitized or contains a cell size of less than ten.",,FERPA-protected student data including grading student assignments or identifying AI-generated student work (restricted contexts),Zoom AI Companion;Microsoft Copilot;Canvas AI enhancements (under test); C&IT approved tools list,,no
raw/us-med-schools/weill-cornell--ai-ethics-responsible-use.md,Weill Cornell Medicine Medical College Library,guidance,,students;clinicians,"never input PHI/PII or sensitive data;enter PHI, PII, student records, or confidential data into Copilot or any AI tool","Microsoft Copilot for summarizing or brainstorming; AI as study aid, not replacement for original work",Never input PHI/PII or sensitive data.,"disclose when AI is used in research, teaching, or publication; cite/acknowledge when substantive",,Microsoft Copilot,,no
raw/us-med-schools/weill-cornell--mededai-wcm.md,Weill Cornell Medicine,curricular,,students;faculty,"AI tools are not authorized to provide diagnoses, treatment recommendations, or risk stratification unless formally approved through clinical governance channels","deployed AI tools for clinical practice and decision support (Abridge, EPIC applications) for ambient note drafting etc.",,,,Abridge;EPIC applications,any new AI tool must undergo a Security Planning Assessment before use,no
raw/us-med-schools/yale--ai-standards-health-sciences.md,"Yale University (applies to YSM, YSPH, YSN, Yale Health)",guidance,,students;clinicians,,,"it's important to handle sensitive health information carefully, whether it comes from patients or research participants",,,,,no
raw/us-med-schools/yale--choosing-right-ai-tool.md,Yale University (ai.yale.edu),guidance,,clinicians,,,,,,,use that violates this guidance may be considered a breach of university policy; YNHHS DTS Enterprise Healthcare AI Governance review process,no
raw/us-med-schools/yale--provost-genai-guidelines.md,Yale Office of the Provost,guidance,2023-09-20,students;faculty,never share Yale NetID and password with AI tools,experimentation with AI tools encouraged; faculty expected to give clear instructions on permitted use and attribution,,,,,follow school academic integrity policies and standards of conduct,no
raw/us-med-schools/yale--using-ai-safely-health-care.md,Yale University (ai.yale.edu; YSM/YSPH/YSN/Yale Health),guidance,,clinicians,"AI tools not authorized to provide diagnoses, treatment recommendations, or risk stratification unless formally approved through clinical governance channels;vendor HIPAA-compliance claims do not meet Yale standards","deployed AI tools (Abridge, EPIC applications) for authorized clinical use cases incl. ambient note drafting","Whenever possible, use de-identified or synthetic data instead of actual patient data.",(minimum necessary principle: enter only information needed for the AI task),,Abridge;EPIC applications,Security Planning Assessment required for any new AI tool; DTS governance review,no
raw/health-systems/corewell-spectrum--cme-responsible-use-of-ai.md,Corewell Health (formerly Spectrum Health) CME West Michigan,formal policy,protocol dated 2026-02-05,clinicians (CME personnel and presenters),high-risk uses of AI not recommended by Corewell Health CME and discouraged by the ACCME,"AI in CME content development with disclosure, error/bias checks, version control, clinician oversight",,"When AI is used in the creation or development of educational content, educators and presenters should disclose its use.",,,compliance with ACCME Standards for Integrity and Independence and Corewell Health systemwide AI policy,no
raw/health-systems/cuimc--ai-and-generative-technology-use.md,Columbia University Irving Medical Center IT,guidance,,clinicians;faculty;students;trainees,paste patient identifiers into non-approved or personal tools;deploy locally installed models without IT Risk Assessment;share financial/HR/student records outside approved authenticated tools,draft/summarize clinical documentation only inside PHI-approved tools with CUIMC account; Copilot drafts within CUIMC tenant,any information that could identify a patient is Protected Health Information (PHI) and may only be entered into tools approved for Sensitive Data.,(no explicit disclosure clause captured),,Columbia ChatGPT Education;Microsoft Copilot (approved products);CU CHAT (OpenAI);AWS Bedrock;Gemini;Gemini Notebook;Claude (non-sensitive only);NYP clinical AI tools,always follow program academic integrity rules; IT risk assessment for local models,no
raw/health-systems/dartmouth-hitchcock--ambient-ai-scribe-consent-practices.md,Dartmouth Health,guidance,2026-08-24,clinicians,,ambient AI scribe with patient permission; summary reviewed and edited by provider; patient can decline,The technology is HIPAA-compliant and integrates with your EHR.,patients informed and consent obtained; can always decline; declination documented,,ambient AI scribe (DHMC/Dartmouth Hitchcock Clinics deployed),,no
raw/health-systems/duke-health--abcds-oversight-process.md,Duke Health AI Evaluation & Governance Program,guidance,,clinicians,,registry of algorithmic solutions; registration and risk assessment before patient-care use; AI Oversight Policy and SOP,,,,,,no
raw/health-systems/houston-methodist--care-with-ai.md,Houston Methodist Center for Innovation,guidance,,clinicians;staff,,20+ ICU algorithms via virtual nurses; Epic integration pilots; succeed-fast/fail-fast innovation model,,,,Epic;MIC Sickbay,,no
raw/health-systems/jackson-health--ai-information.md,Jackson Health System,guidance,,institution (patient-facing info),,,,,,,,"no (teaching hospital for University of Miami Miller School of Medicine, ~1,100 residents/fellows)"
raw/health-systems/johns-hopkins-medicine--genai-responsible-use-guidelines.md,Johns Hopkins University IT,guidance,2025-05-28,faculty;staff;students,,,,,,,,no
raw/health-systems/johns-hopkins-medicine--generative-ai-what-faculty-need-to-know.md,Johns Hopkins Medicine,guidance,2026-05-07,faculty,,"HopGPT free to all JHU/JHM faculty, staff, students; no reimbursement for personal base AI subscriptions when HopGPT meets need",,,,"HopGPT (ChatGPT, Claude, Llama in privacy-protective environment);Azure token compute via ResearchIT",,no
raw/health-systems/johns-hopkins-medicine--hopgpt-launch.md,Johns Hopkins University,guidance,2025-12-15,faculty;staff;students,,HopGPT secure access to popular AI tools; GenAI website with trainings and responsible-use guidelines,,,,"HopGPT (formerly Hopkins AI Lab; ChatGPT, Claude, Llama)",,no
raw/health-systems/mayo-clinic--clinical-ai-resources-guide.md,Mayo Clinic Libraries,guidance,,clinicians;students;researchers,,,,,,,,no
raw/health-systems/mayo-clinic--genai-tools-overview.md,Mayo Clinic Libraries,guidance,,clinicians,,,,,"These tools do not have access to full patient history or exam findings, and their outputs should never independently drive care decisions.",,,no
raw/health-systems/michigan-medicine--using-ai-tools-at-mm.md,Michigan Medicine,guidance,,faculty;staff;students,,approved AI services offered through ITS; pre-approved vendors recommended; TSPs manage IT delivery,,,,,,no
raw/health-systems/mount-sinai--ai-governance-and-safety.md,Mount Sinai Health System,guidance,,staff;clinicians,"We do not enter any sensitive information, including patient information or confidential information, into any AI platform that has not been vetted and approved by the Health System.",,,"transparency about our use of AI to patients, readers, and stakeholders is key to building trust",,,,no
raw/health-systems/mount-sinai--dtp-ai-idea-intake-process.md,Mount Sinai Health System / Digital Technology Partners,guidance,,staff;clinicians,,"AI idea submission, pre-triage, AI Review Board approval, POC validation before deployment",,,,,AI Review Board approves/denies deployment; vendors not permitted at AIRB meetings,no
raw/health-systems/mount-sinai-health-system--ai-implementation-and-use-policy.md,Mount Sinai Health System,formal policy,2025-02-01,clinicians;staff;students;faculty,input or disclosure of Sensitive Information to AI Tools unless specifically approved;provider creation of medical-record documentation with AI without review for accuracy and signature;each intended use separately evaluated and approved,"AI Tools approved by department leaders/committees per intended use, complying with applicable law and MSHS policies","must not input or otherwise disclose to the AI Tool any Sensitive Information, unless otherwise specifically approved to do so",informed consent and/or notice requirements addressed in procurement/intake,compliance risk assessment and periodic performance review of deployed AI Tools,MSHS AI Tool intake checklists; enterprise contract policy review,"significant breach of protected patient information: Privacy Officer, Risk Management, and CIO/HIPAA Security Officer informed immediately; reporting procedures for concerns",no
raw/health-systems/nyp-weill-cornell--ai-at-nyp-wcm-copilot.md,NewYork-Presbyterian / Weill Cornell Medicine,guidance,,clinicians;students;staff,"Never input patient data, student records, or sensitive research details;you cannot use Copilot Enterprise with any regulated data, including data protected under HIPAA, FERPA, and PII regulations (ITS, March 15, 2024)",,,,,Microsoft Copilot (protected version with CWID login),Copilot use governed by NYP Acceptable Use of Electronic Devices and Information Policy (I205),no
raw/health-systems/ochsner--ai-at-ochsner.md,Ochsner Health,guidance,,clinicians;patients,,"AI chatbots for patient messaging;ambient AI for clinical documentation;predictive analytics (sepsis, heart failure);pharmacy and scheduling automation;AI agents (Clara) with patient consent","Your data is protected under the Health Insurance Portability and Accountability Act (HIPAA), and only the minimum information necessary is used for each task.",committed to using AI ethically and transparently; transparency and trust,,ambient AI documentation;Clara AI agent;Epic-embedded tools,"AI committee (clinicians, nurses, data scientists, legal, patient safety) oversees responsible use; AI doesn't diagnose or treat patients",no
raw/health-systems/ohsu-health--ai-governance.md,OHSU,guidance,,clinicians;researchers,,enterprise-wide approved AI tools; most tools approved case-by-case by AI Governance Committee,,,,,,no
raw/health-systems/osu-wexner--ctsi-generative-ai-guidance.md,Ohio State Center for Clinical and Translational Science / Wexner Medical Center,guidance,,faculty;staff;students,enter only public (S1) information unless the tool is explicitly institutionally approved for higher-risk data,university-supported enterprise AI offerings; Gemini and GPT-4 described,,,,Gemini;GPT-4;enterprise university-supported offerings,,no
raw/health-systems/penn-medicine--isc-ai-guidance.md,University of Pennsylvania Information Systems & Computing,guidance,,faculty;staff;students (incl. health professions),sharing patient or research-participant information with open/public AI tools (HIPAA + Penn Medicine policy violation),,"individual patient data and patient data sets (even if deidentified) may not be exposed to open or public AI tools or services, absent institutional approval.",be transparent; disclose when work product created wholly/partially with AI; disclose to students when course materials AI-created and when AI detection used,,ChatGPT;Google Bard (named as examples),all AI use in line with Penn Code of Student Conduct and Code of Academic Integrity,no
raw/health-systems/penn-medicine--upenn-genai-guidance.md,University of Pennsylvania (Almanac),guidance,,faculty;staff;students,sharing patient or research-participant information with open/public AI tools such as ChatGPT,,"It is not permissible under the Health Information Portability & Accountability Act (HIPAA) or Penn Medicine policy to share patient or research participant information in connection with open or public AI tools and services, such as ChatGPT.",be transparent about the use of AI; disclose when a work product was created wholly or partially using an AI tool,,ChatGPT;Google Bard (named as examples),,no
raw/health-systems/uchicago-medicine--im-residency-clinical-ai-use-policy.md,University of Chicago Medicine Internal Medicine Residency Program,formal policy,,residents (PGY-2/PGY-3),"PGY-1 (intern) use of Abridge;Abridge outside direct patient encounters (teaching rounds, handoffs, conferences, evaluations, informal discussions);recording without patient consent (strictly prohibited);AI content/audio for teaching, research, or external sharing without institutional approval;other tools (e.g., Doximity Scribe) not allowed","Abridge for direct patient encounters in continuity clinic, urgent/immediate care, inpatient rotations, ED; verbal patient consent each encounter; MDM-compliant devices","Use of Abridge must comply with all institutional privacy, security, and HIPAA policies.",verbal consent obtained prior to each use; declination documented in the medical record,policy revisited and reassessed annually in June; ambient AI orientation required before first use,Abridge;hospital-issued or MDM/encryption-compliant personal devices,failure to comply may result in revocation of Abridge access and residency professionalism or disciplinary processes,no
raw/health-systems/ucla-health--ai-council.md,UCLA Health,guidance,,faculty;staff,principles: AI carefully evaluated for whether it should be applied or prohibited,UC Presidential Working Group Responsible AI Principles adopted (2021),,Transparency: Individuals should be informed when AI-enabled tools are being used.,AI risk and impact assessment strategy in development; tools assessed for bias and discrimination,,,no
raw/health-systems/ucla-health--ai-in-healthcare.md,UCLA Health,guidance,,clinicians,,,,UCLA Health advances innovation while focusing on safety and transparency; transparency and accountability vital to trust,,,,no
raw/health-systems/ucla-health--automating-patient-communication-ai.md,UCLA Health Information Technology,guidance,2024-01-28,clinicians,,"pilot of GPT-4-driven EHR-vendor tool for draft responses to patient messages, with AI model risk assessment",,,,GPT-4-driven EHR vendor tool (Epic),,no
raw/health-systems/ucsf-health--ai-governance-guidance-policy.md,UCSF,guidance,,clinicians;researchers,,Versa cloud GenAI platform; IRB guidance about ChatGPT/LLMs; UCSF Health AI Oversight cross-disciplinary review,,,,Versa,,no
raw/health-systems/ucsf-health--genai-considerations.md,UCSF,guidance,,clinicians;staff,,Versa is currently the only cloud Generative AI platform authorized for use with UCSF protected data.,,A best practice is to disclose use AI when it significantly effects the work you are presenting or submitting.,,Versa,,no
raw/health-systems/uf-health--ai-governance.md,University of Florida Health,guidance,,,,,none,,,,,no
raw/health-systems/ui-health-care--ai-in-clinical-settings.md,University of Iowa Health Care,guidance,,clinicians;staff;students,,"approved AI tools (Nabla speech-to-text, Evidently chart review) after clinical/compliance/legal/privacy/security review","Clinicians and staff are responsible for validating AI-generated outputs, protecting patient information, complying with applicable policies and regulations.",,,Nabla;Evidently,,no
raw/health-systems/ui-health-care--digital-health-ai-tool-governance.md,University of Iowa Health Care,guidance,,clinicians;staff,,"AI governance committee (clinicians, IT, AI-experienced members) reviews new AI tools and integrations; vendor regulatory compliance required",All digital health and AI-based tools must have safeguards in place to protect health information from being accessed by unauthorized individuals.,,,,,no
raw/health-systems/upmc--ai-oversight-survey.md,UPMC (Media Relations),guidance,2024-02-15,health-system executives,,,,,,,,no
raw/health-systems/upmc--bringing-ai-into-patient-care.md,UPMC (Inside Life Changing Medicine),guidance,2023-04-11,clinicians,,Abridge documentation pilot; clinician review before deployment,,,,Abridge;ChatGPT;digital twin technology,,no
raw/health-systems/uth-health--ai-advisory-subcommittee.md,UTHealth Houston,guidance,,institution,,"AI Task Force strategic roadmap for education, research, clinical care, technology, operations",,,,,,no
raw/health-systems/utsouthwestern--ai-tools.md,UT Southwestern Medical Center,guidance,,clinicians;researchers;administrators,,"generative AI vendor partnerships for safe, effective tools; must complete Responsible Use of AI at UTSW course before requesting a tool","Additional expansion of the UTSW and OpenAI collaboration will facilitate the availability of secure, HIPAA-compliant ChatGPT solutions across campus.",,,HIPAA-compliant ChatGPT (OpenAI collaboration); UTSW GenAI vendor tools,,no
raw/health-systems/uw-gme--ai-guidelines-residency-fellowship-applications.md,University of Washington UME and GME programs,guidance,updated 2025-12,residency/fellowship applicants (students);faculty;reviewers,"fabricating or exaggerating experiences;inputting proprietary, confidential, or personally identifiable data (SSN, medical history) into AI systems","AI to enhance applications, grammar checks, structuring content; wide range of voices encouraged",,adhere to ERAS/NRMP/SF Match disclosure or attestation requirements; transparently discuss AI use in interviews; programs should publish what is acceptable,interview questions to assess AI use and applicant authenticity; faculty to recognize biases toward AI,,,no
